iter	Logloss
0	0.6846912809
1	0.6772933322
2	0.6699326916
3	0.6633754199
4	0.6569138426
5	0.6508900621
6	0.6458700745
7	0.6406726503
8	0.6358202819
9	0.6313452349
10	0.6272328541
11	0.6234058394
12	0.61948008
13	0.6161315933
14	0.6130194347
15	0.6097874366
16	0.6069627001
17	0.6039851888
18	0.601440115
19	0.598740037
20	0.5965063999
21	0.5942151582
22	0.5920451985
23	0.5902273995
24	0.5882235561
25	0.5865360036
26	0.5850975898
27	0.583384649
28	0.5818674371
29	0.5804483127
30	0.5789880635
31	0.5777154538
32	0.5765967944
33	0.5755216095
34	0.5744367355
35	0.5733507904
36	0.5724789184
37	0.571564932
38	0.5706471779
39	0.5697579015
40	0.5689709228
41	0.5682500961
42	0.567579255
43	0.5668093775
44	0.5662627148
45	0.5656573723
46	0.5649294625
47	0.5643014827
48	0.5638227982
49	0.5632697668
50	0.5627319896
51	0.5621912643
52	0.5616970741
53	0.5612583494
54	0.5607940598
55	0.5601961516
56	0.5597473839
57	0.5591864671
58	0.558834972
59	0.5584834014
60	0.558170433
61	0.557867855
62	0.5574980971
63	0.5571594599
64	0.5567970359
65	0.5564168298
66	0.5559871595
67	0.5556046633
68	0.5552689743
69	0.5548971573
70	0.5546144159
71	0.554342789
72	0.5540018595
73	0.5537599928
74	0.5534981017
75	0.5532010333
76	0.5529324289
77	0.5526597351
78	0.5523286149
79	0.5520497654
80	0.5517616215
81	0.5515110339
82	0.5512503477
83	0.5511092057
84	0.5507881759
85	0.5505251193
86	0.5502274213
87	0.5499568839
88	0.5497151484
89	0.5495392455
90	0.5493167611
91	0.5490887749
92	0.5488915996
93	0.5486817175
94	0.5484841864
95	0.5481630115
96	0.5479992814
97	0.5478248466
98	0.547639455
99	0.5474204427
100	0.5471157116
101	0.5468411746
102	0.5466532658
103	0.5464474447
104	0.5462453031
105	0.5460239118
106	0.5458680132
107	0.5456755601
108	0.545441554
109	0.5452812272
110	0.545145637
111	0.5450326596
112	0.5448387874
113	0.5447143117
114	0.5445267036
115	0.5442936443
116	0.5441097169
117	0.5439113272
118	0.5436300454
119	0.5434514096
120	0.5432096385
121	0.5430315336
122	0.5428475959
123	0.5426448955
124	0.5425294167
125	0.5423535105
126	0.5422076742
127	0.5420775174
128	0.5419429047
129	0.5417877713
130	0.5415740059
131	0.5413155797
132	0.5411561917
133	0.5410246085
134	0.5409317041
135	0.5407138242
136	0.5405512313
137	0.5404459001
138	0.5403506949
139	0.540190307
140	0.5400148099
141	0.5399057805
142	0.5397651039
143	0.5396009046
144	0.5394512031
145	0.5392920359
146	0.5391072768
147	0.5389582991
148	0.5388624283
149	0.5387098958
150	0.5385181239
151	0.5384178656
152	0.5383077465
153	0.5381910125
154	0.5380359276
155	0.5378949213
156	0.537789971
157	0.5376426007
158	0.5374915693
159	0.5373083475
160	0.5371795055
161	0.5369935375
162	0.5368931228
163	0.5367879047
164	0.5366212675
165	0.5365377594
166	0.5364175002
167	0.5362625046
168	0.536163019
169	0.5359864366
170	0.5358553739
171	0.5357500891
172	0.5356326321
173	0.5355085231
174	0.5354397142
175	0.5352736908
176	0.535128901
177	0.5349869082
178	0.534787797
179	0.5346596166
180	0.5344555247
181	0.5343119896
182	0.5342396583
183	0.5341426821
184	0.5340036721
185	0.5338495433
186	0.5336725398
187	0.5335141961
188	0.5333110577
189	0.5332093385
190	0.5331394734
191	0.5330678444
192	0.5330131422
193	0.5329462405
194	0.5328246606
195	0.5326882074
196	0.5326242
197	0.5325280843
198	0.5323828234
199	0.5323009889
200	0.5320884022
201	0.5320099531
202	0.5318892764
203	0.53181539
204	0.5316432687
205	0.531518258
206	0.5313921363
207	0.5312790974
208	0.5311473585
209	0.5310825543
210	0.5309390728
211	0.5307716303
212	0.5307000299
213	0.5306234199
214	0.5304732698
215	0.5303905779
216	0.5303225686
217	0.5301884075
218	0.5300407398
219	0.5298499133
220	0.529755846
221	0.5295497812
222	0.5294183936
223	0.5292755819
224	0.5291801451
225	0.5290876262
226	0.528915023
227	0.5288019533
228	0.52867232
229	0.5285477682
230	0.5284382798
231	0.5283334033
232	0.5282201412
233	0.5281115441
234	0.5279404299
235	0.5278187904
236	0.5276296022
237	0.527556827
238	0.5273867177
239	0.5272725674
240	0.5272232019
241	0.5271002182
242	0.5269931341
243	0.5268621315
244	0.5267684846
245	0.5267075855
246	0.5266083319
247	0.5264059536
248	0.5263324964
249	0.5262202932
250	0.5260786775
251	0.5259087148
252	0.5258147532
253	0.5257012039
254	0.5255996461
255	0.525455094
256	0.5253457828
257	0.5251653833
258	0.5250040493
259	0.5249016395
260	0.524793827
261	0.524628438
262	0.524490218
263	0.5243239616
264	0.5241620456
265	0.5240491924
266	0.5239511741
267	0.5238129088
268	0.5237435902
269	0.5236491939
270	0.5235290314
271	0.5234013477
272	0.5233139414
273	0.5231650264
274	0.5230961755
275	0.5229962049
276	0.5228330037
277	0.5227379888
278	0.5226491755
279	0.5224465112
280	0.5223285894
281	0.5222174947
282	0.5220819793
283	0.521978803
284	0.521874307
285	0.5216502927
286	0.5215248774
287	0.5214196078
288	0.5212474892
289	0.521091736
290	0.52094831
291	0.5207630439
292	0.5206125348
293	0.5205083697
294	0.5203841092
295	0.5202735343
296	0.5201470638
297	0.5200708776
298	0.5199270667
299	0.5197676626
300	0.5196259354
301	0.5195066769
302	0.5194173997
303	0.5192879159
304	0.519190547
305	0.519076306
306	0.5189242442
307	0.518741311
308	0.5186291615
309	0.5185265935
310	0.5183435667
311	0.5182649891
312	0.5181319876
313	0.5180158715
314	0.5178498012
315	0.5176986236
316	0.5175875139
317	0.5174954892
318	0.5173842114
319	0.517322726
320	0.5172108737
321	0.5169927077
322	0.5168032018
323	0.5166361768
324	0.5164736175
325	0.5163455379
326	0.5162031876
327	0.5160887045
328	0.5159223251
329	0.5157793845
330	0.5156578216
331	0.5155527719
332	0.5153818682
333	0.5152760883
334	0.5151588142
335	0.5150301973
336	0.5148547835
337	0.5146960064
338	0.5145742393
339	0.5143938448
340	0.514315548
341	0.5141963271
342	0.5140540545
343	0.5139122155
344	0.5137555034
345	0.5136218093
346	0.5134433595
347	0.5133245649
348	0.5132173791
349	0.5130961527
350	0.5129408931
351	0.5128367504
352	0.5127359403
353	0.5125446829
354	0.5124044687
355	0.5122755527
356	0.5121337168
357	0.5119693289
358	0.5118794707
359	0.5116977764
360	0.5115862866
361	0.5114200789
362	0.5113232284
363	0.5111788006
364	0.5109786988
365	0.5108601748
366	0.5106773477
367	0.510597212
368	0.5104876619
369	0.510339532
370	0.5101768271
371	0.5100750529
372	0.5099171007
373	0.5097754131
374	0.5096432207
375	0.509471407
376	0.5092947992
377	0.5091763563
378	0.5090118174
379	0.5088112149
380	0.5087037278
381	0.508545635
