iter	Passed	Remaining
0	7	7310
1	10	5348
2	14	4813
3	17	4368
4	21	4207
5	24	4104
6	28	3989
7	31	3930
8	34	3836
9	38	3850
10	42	3841
11	46	3793
12	49	3789
13	53	3774
14	57	3764
15	60	3740
16	64	3757
17	68	3758
18	72	3722
19	76	3735
20	80	3747
21	84	3737
22	87	3718
23	91	3708
24	94	3702
25	98	3683
26	101	3668
27	106	3683
28	110	3683
29	114	3687
30	117	3679
31	121	3675
32	125	3668
33	128	3659
34	131	3614
35	134	3589
36	137	3576
37	140	3567
38	143	3545
39	146	3524
40	149	3500
41	152	3477
42	155	3458
43	159	3456
44	162	3452
45	166	3456
46	170	3452
47	173	3450
48	177	3436
49	180	3428
50	184	3424
51	187	3422
52	191	3420
53	194	3411
54	198	3403
55	201	3396
56	204	3390
57	208	3383
58	212	3384
59	215	3383
60	219	3374
61	222	3371
62	226	3367
63	229	3361
64	233	3356
65	237	3355
66	241	3357
67	244	3353
68	248	3352
69	251	3344
70	255	3341
71	259	3338
72	262	3332
73	266	3333
74	270	3331
75	273	3331
76	277	3325
77	281	3326
78	284	3321
79	288	3313
80	291	3310
81	295	3310
82	299	3308
83	302	3302
84	307	3309
85	310	3300
86	314	3296
87	317	3290
88	321	3286
89	324	3282
90	328	3278
91	331	3272
92	334	3265
93	338	3265
94	341	3255
95	345	3256
96	349	3253
97	353	3249
98	356	3245
99	359	3238
100	363	3237
101	366	3229
102	370	3228
103	374	3223
104	377	3219
105	381	3213
106	384	3209
107	387	3203
108	391	3196
109	394	3192
110	397	3187
111	402	3193
112	406	3190
113	410	3189
114	413	3184
115	418	3187
116	421	3179
117	424	3175
118	427	3167
119	431	3163
120	435	3162
121	438	3156
122	441	3150
123	444	3143
124	448	3138
125	452	3136
126	456	3135
127	460	3135
128	464	3134
129	467	3129
130	471	3126
131	475	3126
132	479	3122
133	482	3119
134	485	3109
135	489	3110
136	493	3106
137	496	3100
138	500	3098
139	503	3093
140	506	3088
